,Chris,Germán,Hubert,Laurids,Paula,Agreement,Agreement girls,Agreement guys,Real labels,Majority Vote,Sexism ,Correct,Tweets:
67,0,0,1,0,0,0,1,0,0,0,no,Mismatch,@user @user @user Don't dare to tell us about Syrian refugees.
68,1,1,1,1,1,1,1,1,1,1,no,Correct,"@user @user It should foment anger. Only idiots open their borders to people who will NEVER assimilate. Majority of Black Africans coming into Europe are NOT refugees and had the money to pay for trip over, which is expensive."
69,0,0,0,0,0,1,1,1,0,0,no,Correct,This is what Trump supporters call humane smh
70,1,0,0,1,1,0,1,0,1,1,yes,Mismatch,MegynKelly is skank. Whore paid $$ for what? Only thing left to watch on .@nbc anymore is SNL. More truth to them t…
71,0,0,0,0,0,1,1,1,0,0,no,Correct,"#OccupyICEPHL was delighted to learn that Charlie Kirk, the anti-immigrant, anti-Muslim, conspiracy theory-touting, founder &amp; executive director of the white nationalist-allied Turning Point USA (TPUSA) didn't have a very good morning either. #NationalistsNotWelcome"
72,1,0,0,0,1,0,1,0,0,0,no,Mismatch,"Med not a house/EU not adult day care camp for migrants seeking handouts or to profit from crime.Tunisia abusing #Italy EU, which has leverage bt lacks courage to use it. #Salvini must send messageðŸ‘‰either stop boats &amp; take back citizens or we bury you economically, esp. leaders"
73,0,0,0,1,0,0,1,0,0,0,yes,Mismatch,@user good girl
74,1,1,1,1,1,1,1,1,1,1,yes,Correct,you know your women are stupid just like you're_ bitch please did i fuck you_ what importance do you have in my life_ are you retarded_ 😏🌹
75,1,1,1,1,1,1,1,1,1,1,yes,Correct,Don't you hate how girls just Whore around because they never got daddy's attention ?? And so they have to interfere in relationships.. hoe
76,0,0,0,1,0,0,1,0,0,0,yes,Mismatch,"@user Greedy, you have to talk about this tomorrow including the hysterical responses."
77,1,0,1,0,0,0,0,0,1,0,yes,Mismatch,@user Wow!! Never seen a woman juggle a big cock like that
78,1,1,0,1,1,0,1,0,1,1,yes,Mismatch,"Fuck you, you hoe I don’t want you back"
79,1,1,1,1,1,1,1,1,1,1,no,Correct,@user Screw her and her beliefs!! Send them packing!! This is a Christian nation with Christian laws. #BuildThatWall #kag
80,1,0,0,1,1,0,1,0,1,1,yes,Mismatch,@user You are the sloppy queen of sucking cock
81,0,0,0,0,0,1,1,1,0,0,no,Correct,World Relief is continuing to provide legal aid and advocating for immigrant families who have been separated at the U.S.-Mexico border. You can make a difference and help reunite families by making a donation today. âž
82,1,0,1,0,0,0,0,0,1,0,no,Mismatch,"@user Africa for Africans, Asia for Asians, White countries for everyone IS White Genocide.Some basic truths:  Access to White people is not a human righthttps://t.co/c0gHvd6iMBRemigration 2018:  Easy come, easy GO!!"
83,1,1,1,1,1,1,1,1,1,1,yes,Correct,@user you dumb cunt you trick 12 and 30 year old virgins into giving you money you fucking bitch. kys honest…
84,0,0,0,0,0,1,1,1,0,0,no,Correct,From refugee to sole survivor - How one Syrian has become shoemaker to the famous
85,1,0,1,0,1,0,1,0,1,1,no,Mismatch,"@user @user @user @user Earth to Andrew, come in Andrew:   its about immigration.Denying Canadians their right to survive and defend their racial interests IS 'racial hatred'.  IN fact its White Genocide. Its a crime: Access to White peopl"
86,0,0,0,1,0,0,1,0,0,0,yes,Mismatch,"When you're sneaking in after a long, hard night of cheating and don't wanna wake your girl cause you're a good guy"
87,0,0,0,0,0,1,1,1,0,0,yes,Correct,"@user sweetie, how the hell can you take “oh my god that’s a DICK?!?!?!?!” Style monologue"
88,1,1,1,1,1,1,1,1,1,1,no,Correct,"Absolutely perfect keep the whole lot of Illegal Aliens out, now maybe libtarded snowflakes will be happy they are not being split up? #maga #kag #nodaca #noamnesty #BuildThatWall #BuildTheWallNow #BuildTheDamnWall #BuildTheWall"
89,0,0,0,0,0,1,1,1,0,0,no,Correct,Hundreds of Syrian refugees return home from Lebanon - ABC News
90,0,0,0,0,0,1,1,1,0,0,no,Correct,"VIDEO: Immigrant activist who climbed Statue of Liberty has a new song: ""America, you motherfuckers,..."
91,1,1,1,0,0,0,0,0,1,1,no,Mismatch,Turkish government must immediately take precautions to protect it's borders and find solution for the trouble in Syria or else Turkey will be a refugee storage in the near future and this is a big threat for our survival #nomorerefugees
92,0,1,1,0,1,0,0,0,1,1,no,Mismatch,"//'We will send back the illegal immigrants to Bangladesh. Tough days are ahead, we will not tolerate any illegal immigrants in Bengal.'With these statements, West Bengal..."
93,0,0,0,0,0,1,1,1,0,0,no,Correct,RT @user I bet a lot of people's therapists are dying to meet me just to see if the stories are true.
94,1,1,0,1,1,0,1,0,1,1,yes,Mismatch,HOLLERINGGGGGGG. stupid baby bitch.
95,1,0,0,1,0,0,0,0,1,0,yes,Mismatch,a bitch in which I find attractive can take her sock off and my dick will suddenly become hard as shit ..
96,0,0,0,0,0,1,1,1,0,0,no,Correct,RT @user 'You miss 100% of the shots you don't take.' -- Wayne Gretzky
97,0,0,0,0,0,1,1,1,0,0,no,Correct,"@user Actually that is any benefits which would make a Immigrant a ""Public Charge"" law on the books for over 100 years not entitled to hold a green card or become a citizen but #Dems wont enforce it !  That is why 73% of  Mexican and Central Amer"
98,1,1,1,0,1,0,1,0,1,1,no,Mismatch,How much is John McCains funeral costing tax payers? Not including his no vote to scrap Obamacare. Next time use our hard earned money for something useful like building the wall!!#BuildThatWall#McCainFuneral #Baloney
99,1,1,1,1,1,1,1,1,1,1,yes,Correct,I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains? #womenaredumb..
100,0,0,0,0,0,1,1,1,0,0,no,Correct,Syrian activist alleges UN gave Rakban camp refugee children expired sweets
total:,53,34,32,36,48,47,83,47,48,#N/A,,45,
